College Code,College Name,Branch Code,Branch Name,Year_2017,OC_2017,BC_2017,BCM_2017,MBC_2017,SC_2017,SCA_2017,ST_2017,OCRank_2017,BCRank_2017,BCMRank_2017,MBCRank_2017,SCRank_2017,SCARank_2017,STRank_2017,Year_2018,OC_2018,BC_2018,BCM_2018,MBC_2018,SC_2018,SCA_2018,ST_2018,OCRank_2018,BCRank_2018,BCMRank_2018,MBCRank_2018,SCRank_2018,SCARank_2018,STRank_2018,Year_2019,OC_2019,BC_2019,BCM_2019,MBC_2019,SC_2019,SCA_2019,ST_2019,OCRank_2019,BCRank_2019,BCMRank_2019,MBCRank_2019,SCRank_2019,SCARank_2019,STRank_2019
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IB,24,2017,197.75,197,195.75,195.5,193,192.75,134905,2480,3400,6019,6274,11032,11519,134905,2018,197,195,189.25,192.25,187.75,174,134905,1715,3791,11370,7059,13553,29663,134905,2019,190.75,187,182.5,179.75,166.5,149,134905,1715,4092,6769,8578,17921,31732,134905
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IS,25,2017,197,196.5,195.25,194.75,186,184.75,134905,3575,4668,6679,7669,23803,26057,134905,2018,194,192.25,189,189.25,177.25,148.75,134905,5015,7020,11714,11382.5,26235,55072,134905,2019,190,184,180,172.25,163.75,138.5,134905,2441,5718,8454,13697,20003,40335,134905
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",LE,26,2017,193.75,192.75,193,191.25,181.75,179.75,178.5,9445,11387,11099,14004,31263,34612,36402,2018,187.25,185,182,180.75,168.75,174.75,135,14002,16997,20459,22135,35217,28929,67670,2019,169,162.5,152.5,157,148.5,121,126,16090,20888,28533,25205,32136,57605,52143
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PP,27,2017,195.75,195,194.75,193.5,185.75,176.25,165.25,5666,7079,7631,10041,24326,40104,57127,2018,192.25,189.75,186.25,187,174.75,161.75,165.75,7159,10799,15408,14503,28917,42431,38233,2019,178.5,173,175,167.5,150,117.5,134905,9337,13221,11734,17205,30877,61188,134905
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PM,28,2017,195,194.25,194.75,192.25,183.5,172.5,134905,7111,8464,7490,12343,28357,46138,134905,2018,191.5,189.75,189.25,186.25,171.5,128.75,134905,8074,10634,11465,15218,32347,73157,134905,2019,179,173.5,175.5,167,150.5,143,124.5,9224,12678,11434,17525,30144,36608,53859
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",TX,29,2017,193.75,193,192.25,191.75,182,177,157.25,9423,10803,12526,13162,30643,39090,68732,2018,190,188.25,183,185,175.25,180.75,160.5,10537,12687,19324,16914,28443,21974,43610,2019,173,165,159.5,164.5,142,133.5,139.5,13139,19154,23180,19531,37402,45083,39575
2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",TX,29,2017,193.75,193,192.25,191.75,182,177,157.25,9423,10803,12526,13162,30643,39090,68732,2018,190,188.25,183,185,175.25,180.75,160.5,10537,12687,19324,16914,28443,21974,43610,2019,173,165,159.5,164.5,142,133.5,139.5,13139,19154,23180,19531,37402,45083,39575
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CS,5,2017,198.75,198.5,198,197.75,195,197.5,192.25,835,1146,1853,2424,7260,2595,12319,2018,198,197.5,197.5,196.5,192.25,189.25,185.5,737,1040,1038,1992,7201,11504,16375,2019,194.5,193.25,190,191.5,184.5,190,165.5,516,857,2418,1488,5466,2027,18814
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CM,6,2017,198.5,198.33,197.5,197,192,186,134905,1235,1410,2639,3454,12601,23791,134905,2018,197.25,197,194.75,195.75,187,174,134905,1277,1590,4114,2961,14510,29753,134905,2019,193,192,188.5,190,179,149,148,914,1299,3237,2234,9059,31354,32495
4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EM,8,2017,198.75,198.5,197,197.75,193.5,188.75,177.75,1024,1335,3448,2207,9734,18973,37656,2018,196.75,196.5,192.25,195.5,186.75,170.75,172.5,1777,2199,6998,3299,14788,33110,31213,2019,191,190,186,185.5,173,144,143,1639,2180,4689,4872,13110,35522,36643
